Name,Date,Time,Team A,Draw,Team B,Volume
BV Borussia 09 Dortmund vs. Eintracht Frankfurt,2026-05-08,20:30:00,0.645,0.195,0.165,$16.9K
RB Leipzig vs. FC St. Pauli 1910,2026-05-09,15:30:00,0.745,0.165,0.095,$9.3K
TSG 1899 Hoffenheim vs. SV Werder Bremen,2026-05-09,15:30:00,0.665,0.185,0.155,$2.7K
VfB Stuttgart vs. Bayer 04 Leverkusen,2026-05-09,15:30:00,0.435,0.235,0.325,$2.4K
FC Augsburg vs. Borussia Mönchengladbach,2026-05-09,15:30:00,0.455,0.255,0.285,$1.3K
VfL Wolfsburg vs. FC Bayern München,2026-05-09,18:30:00,0.205,0.205,0.585,$33.4K
Hamburger SV vs. SC Freiburg,2026-05-10,15:30:00,0.345,0.265,0.395,$1.5K
1. FC Köln vs. 1. FC Heidenheim 1846,2026-05-10,17:30:00,0.505,0.23,0.265,$820
1. FSV Mainz 05 vs. 1. FC Union Berlin,2026-05-10,19:30:00,0.555,0.235,0.215,$34.3K
FC Bayern München vs. 1. FC Köln,2026-05-16,15:30:00,0.68,0.22,0.155,$444
Bayer 04 Leverkusen vs. Hamburger SV,2026-05-16,15:30:00,0.59,0.28,0.285,$77
SV Werder Bremen vs. BV Borussia 09 Dortmund,2026-05-16,15:30:00,0.35,0.26,0.45,$5
Eintracht Frankfurt vs. VfB Stuttgart,2026-05-16,15:30:00,0.335,0.315,0.39,$2
Borussia Mönchengladbach vs. TSG 1899 Hoffenheim,2026-05-16,15:30:00,0.415,0.325,0.42,$2
1. FC Heidenheim 1846 vs. 1. FSV Mainz 05,2026-05-16,15:30:00,0.355,0.325,0.365,$2
FC St. Pauli 1910 vs. VfL Wolfsburg,2026-05-16,15:30:00,0.36,0.325,0.335,$2
1. FC Union Berlin vs. FC Augsburg,2026-05-16,15:30:00,0.41,0.315,0.37,$2
SC Freiburg vs. RB Leipzig,2026-05-16,15:30:00,0.395,0.31,0.395,$0
