Name,Date,Time,Team A,Draw,Team B,Volume
Liverpool FC vs. Chelsea FC,2026-05-09,13:30:00,0.525,0.235,0.245,$59.6K
Fulham FC vs. AFC Bournemouth,2026-05-09,16:00:00,0.345,0.255,0.405,$66.2K
Brighton & Hove Albion FC vs. Wolverhampton Wanderers FC,2026-05-09,16:00:00,0.765,0.145,0.085,$45.9K
Sunderland AFC vs. Manchester United FC,2026-05-09,16:00:00,0.225,0.255,0.515,$39.3K
Manchester City FC vs. Brentford FC,2026-05-09,18:30:00,0.725,0.165,0.115,$47K
Nottingham Forest FC vs. Newcastle United FC,2026-05-10,15:00:00,0.365,0.265,0.365,$32.1K
Burnley FC vs. Aston Villa FC,2026-05-10,15:00:00,0.175,0.22,0.605,$6.7K
Crystal Palace FC vs. Everton FC,2026-05-10,15:00:00,0.345,0.285,0.365,$2.4K
West Ham United FC vs. Arsenal FC,2026-05-10,17:30:00,0.165,0.225,0.605,$61.4K
Tottenham Hotspur FC vs. Leeds United FC,2026-05-11,21:00:00,0.525,0.245,0.24,$40.2K
Manchester United FC vs. Nottingham Forest FC,2026-05-17,13:30:00,0.615,0.2,0.195,$1.3K
Aston Villa FC vs. Liverpool FC,2026-05-17,13:30:00,0.275,0.225,0.525,$674
Wolverhampton Wanderers FC vs. Fulham FC,2026-05-17,16:00:00,0.25,0.235,0.495,$463
Brentford FC vs. Crystal Palace FC,2026-05-17,16:00:00,0.575,0.195,0.215,$356
Everton FC vs. Sunderland AFC,2026-05-17,16:00:00,0.535,0.25,0.205,$337
Leeds United FC vs. Brighton & Hove Albion FC,2026-05-17,16:00:00,0.315,0.265,0.415,$110
Newcastle United FC vs. West Ham United FC,2026-05-17,18:30:00,0.475,0.255,0.265,$247
