Name,Date,Time,Team A,Draw,Team B,Volume
Levante UD vs. CA Osasuna,2026-05-08,21:00:00,0.375,0.285,0.335,$12.2K
Elche CF vs. Deportivo Alavés,2026-05-09,14:00:00,0.425,0.285,0.285,$4.4K
Sevilla FC vs. RCD Espanyol de Barcelona,2026-05-09,16:15:00,0.475,0.285,0.245,$13.7K
Club Atlético de Madrid vs. RC Celta de Vigo,2026-05-09,18:30:00,0.455,0.275,0.275,$189.3K
Real Sociedad de Fútbol vs. Real Betis Balompié,2026-05-09,21:00:00,0.375,0.265,0.365,$5.3K
RCD Mallorca vs. Villarreal CF,2026-05-10,14:00:00,0.405,0.275,0.325,$8.9K
Athletic Club vs. Valencia CF,2026-05-10,16:15:00,0.565,0.245,0.185,$5.3K
Real Oviedo vs. Getafe CF,2026-05-10,18:30:00,0.315,0.295,0.385,$118.6K
FC Barcelona vs. Real Madrid CF,2026-05-10,21:00:00,0.585,0.19,0.225,$531.2K
Rayo Vallecano de Madrid vs. Girona FC,2026-05-11,21:00:00,0.405,0.285,0.315,$2.2K
RC Celta de Vigo vs. Levante UD,2026-05-12,19:00:00,0.565,0.235,0.195,$481
Real Betis Balompié vs. Elche CF,2026-05-12,20:00:00,0.595,0.225,0.185,$193
CA Osasuna vs. Club Atlético de Madrid,2026-05-12,21:30:00,0.37,0.265,0.365,$1.3K
RCD Espanyol de Barcelona vs. Athletic Club,2026-05-13,19:00:00,0.31,0.275,0.415,$1.4K
Villarreal CF vs. Sevilla FC,2026-05-13,19:00:00,0.48,0.275,0.245,$1.1K
Deportivo Alavés vs. FC Barcelona,2026-05-13,21:30:00,0.275,0.25,0.47,$7.1K
Getafe CF vs. RCD Mallorca,2026-05-13,21:30:00,0.47,0.3,0.235,$173
Valencia CF vs. Rayo Vallecano de Madrid,2026-05-14,19:00:00,0.44,0.265,0.3,$640
Girona FC vs. Real Sociedad de Fútbol,2026-05-14,20:00:00,0.455,0.245,0.3,$187
Real Madrid CF vs. Real Oviedo,2026-05-14,21:30:00,0.805,0.14,0.075,$2.7K
Sevilla FC vs. Real Madrid CF,2026-05-17,19:00:00,0.25,0.235,0.5,$3.3K
Real Oviedo vs. Deportivo Alavés,2026-05-17,19:00:00,0.3,0.275,0.41,$779
Rayo Vallecano de Madrid vs. Villarreal CF,2026-05-17,19:00:00,0.385,0.26,0.34,$218
FC Barcelona vs. Real Betis Balompié,2026-05-17,19:00:00,0.735,0.13,0.1,$213
Athletic Club vs. RC Celta de Vigo,2026-05-17,19:00:00,0.555,0.25,0.225,$43
CA Osasuna vs. RCD Espanyol de Barcelona,2026-05-17,19:00:00,0.48,0.27,0.24,$35
Elche CF vs. Getafe CF,2026-05-17,19:00:00,0.395,0.28,0.31,$34
Real Sociedad de Fútbol vs. Valencia CF,2026-05-17,19:00:00,0.485,0.26,0.235,$10
Levante UD vs. RCD Mallorca,2026-05-17,19:00:00,0.43,0.265,0.285,$0
Club Atlético de Madrid vs. Girona FC,2026-05-17,19:00:00,0.62,0.21,0.185,$0
