Name,Date,Time,Team A,Team B,Volume
Cleveland Guardians vs. Kansas City Royals,2026-05-07,20:10:00,0.999,0.001,$772.8K
Cincinnati Reds vs. Chicago Cubs,2026-05-07,20:20:00,0.001,0.999,$654.9K
Pittsburgh Pirates vs. Arizona Diamondbacks,2026-05-07,21:40:00,0.955,0.045,$664.7K
Baltimore Orioles vs. Miami Marlins,2026-05-08,00:40:00,0.465,0.535,$341.5K
Athletics vs. Philadelphia Phillies,2026-05-08,00:40:00,0.455,0.545,$58.4K
Tampa Bay Rays vs. Boston Red Sox,2026-05-08,01:10:00,0.485,0.515,$145.9K
St. Louis Cardinals vs. San Diego Padres,2026-05-08,04:10:00,0.405,0.595,$110.6K
Houston Astros vs. Cincinnati Reds,2026-05-09,00:10:00,0.445,0.555,$57
Colorado Rockies vs. Philadelphia Phillies,2026-05-09,00:40:00,0.345,0.655,$226
Los Angeles Angels vs. Toronto Blue Jays,2026-05-09,01:07:00,0.395,0.605,$113
Tampa Bay Rays vs. Boston Red Sox,2026-05-09,01:10:00,0.455,0.545,$4.1K
Washington Nationals vs. Miami Marlins,2026-05-09,01:10:00,0.465,0.535,$4
Minnesota Twins vs. Cleveland Guardians,2026-05-09,01:15:00,0.44,0.56,$123
New York Yankees vs. Milwaukee Brewers,2026-05-09,01:40:00,0.57,0.43,$166
Seattle Mariners vs. Chicago White Sox,2026-05-09,01:40:00,0.545,0.455,$128
Detroit Tigers vs. Kansas City Royals,2026-05-09,01:40:00,0.435,0.565,$8
Athletics vs. Baltimore Orioles,2026-05-16,01:05:00,0.43,0.57,$22
Chicago Cubs vs. Texas Rangers,2026-05-16,02:05:00,0.57,0.43,$22
New York Mets vs. Arizona Diamondbacks,2026-05-16,03:40:00,0.555,0.445,$27
St. Louis Cardinals vs. San Diego Padres,2026-05-16,03:45:00,0.425,0.575,$2.9K
Atlanta Braves vs. Los Angeles Dodgers,2026-05-16,04:10:00,0.4805,0.5195,$130
Pittsburgh Pirates vs. San Francisco Giants,2026-05-16,04:15:00,0.515,0.485,$3
Los Angeles Angels vs. Toronto Blue Jays,2026-05-16,21:07:00,0.405,0.595,$148
Athletics vs. Baltimore Orioles,2026-05-16,22:05:00,0.44,0.56,$19
Houston Astros vs. Cincinnati Reds,2026-05-16,22:10:00,0.55,0.45,$22
Tampa Bay Rays vs. Boston Red Sox,2026-05-16,22:10:00,0.375,0.625,$21
Washington Nationals vs. Miami Marlins,2026-05-16,22:10:00,0.36,0.64,$0
Colorado Rockies vs. Philadelphia Phillies,2026-05-17,00:05:00,0.295,0.705,$11
Minnesota Twins vs. Cleveland Guardians,2026-05-17,00:10:00,0.505,0.495,$16
Chicago Cubs vs. Texas Rangers,2026-05-17,01:05:00,0.55,0.45,$0
Seattle Mariners vs. Chicago White Sox,2026-05-17,01:10:00,0.515,0.485,$10
Detroit Tigers vs. Kansas City Royals,2026-05-17,01:10:00,0.47,0.53,$0
New York Yankees vs. Milwaukee Brewers,2026-05-17,01:10:00,0.6,0.4,$0
New York Mets vs. Arizona Diamondbacks,2026-05-17,01:15:00,0.575,0.425,$0
St. Louis Cardinals vs. San Diego Padres,2026-05-17,01:15:00,0.39,0.61,$0
Pittsburgh Pirates vs. San Francisco Giants,2026-05-17,03:05:00,0.475,0.525,$10
Atlanta Braves vs. Los Angeles Dodgers,2026-05-17,03:10:00,0.465,0.535,$1
Washington Nationals vs. Miami Marlins,2026-05-17,18:15:00,0.455,0.545,$51
Colorado Rockies vs. Philadelphia Phillies,2026-05-17,19:35:00,0.34,0.66,$24
Athletics vs. Baltimore Orioles,2026-05-17,19:35:00,0.465,0.535,$0
Tampa Bay Rays vs. Boston Red Sox,2026-05-17,19:35:00,0.38,0.62,$0
Los Angeles Angels vs. Toronto Blue Jays,2026-05-17,19:37:00,0.35,0.65,$0
Houston Astros vs. Cincinnati Reds,2026-05-17,19:40:00,0.565,0.435,$0
Minnesota Twins vs. Cleveland Guardians,2026-05-17,19:40:00,0.535,0.465,$0
Seattle Mariners vs. Chicago White Sox,2026-05-17,20:10:00,0.63,0.37,$0
New York Yankees vs. Milwaukee Brewers,2026-05-17,20:10:00,0.6,0.4,$0
Chicago Cubs vs. Texas Rangers,2026-05-17,20:35:00,0.46,0.54,$0
Pittsburgh Pirates vs. San Francisco Giants,2026-05-17,22:05:00,0.46,0.54,$0
Atlanta Braves vs. Los Angeles Dodgers,2026-05-17,22:10:00,0.425,0.575,$1
New York Mets vs. Arizona Diamondbacks,2026-05-17,22:10:00,0.58,0.42,$0
St. Louis Cardinals vs. San Diego Padres,2026-05-17,22:10:00,0.34,0.66,$0
