Name,Date,Time,Team A,Team B,Volume
Cavaliers vs. Pistons,2026-05-08,01:00:00,0.405,0.595,$1.4M
Lakers vs. Thunder,2026-05-08,03:30:00,0.125,0.875,$1M
Knicks vs. 76ers,2026-05-09,01:00:00,0.495,0.505,$983.6K
Spurs vs. Timberwolves,2026-05-09,03:30:00,0.665,0.335,$667.6K
Pistons vs. Cavaliers,2026-05-09,21:00:00,0.43,0.57,$2.3K
Thunder vs. Lakers,2026-05-10,02:30:00,0.775,0.225,$10K
Knicks vs. 76ers,2026-05-10,21:30:00,0.535,0.465,$1.6K
Spurs vs. Timberwolves,2026-05-11,01:30:00,0.635,0.365,$2.6K
Pistons vs. Cavaliers,2026-05-12,02:00:00,0.43,0.57,$229
Thunder vs. Lakers,2026-05-12,04:30:00,0.735,0.265,$2.7K
Timberwolves vs. Spurs,2026-05-12,06:00:00,0.175,0.825,$328
76ers vs. Knicks,2026-05-12,06:00:00,0.46,0.54,$96
Lakers vs. Thunder,2026-05-13,06:00:00,0.335,0.665,$106
Cavaliers vs. Pistons,2026-05-13,06:00:00,0.455,0.545,$27
