Name,Date,Time,Team A,Draw,Team B,Volume
Torino FC vs. US Sassuolo Calcio,2026-05-08,20:45:00,0.385,0.295,0.325,$18K
Cagliari Calcio vs. Udinese Calcio,2026-05-09,15:00:00,0.375,0.305,0.315,$964
SS Lazio vs. FC Internazionale Milano,2026-05-09,18:00:00,0.205,0.255,0.535,$5.6K
US Lecce vs. Juventus FC,2026-05-09,20:45:00,0.125,0.215,0.665,$5K
Hellas Verona FC vs. Como 1907,2026-05-10,12:30:00,0.115,0.185,0.695,$2.5K
US Cremonese vs. Pisa SC,2026-05-10,15:00:00,0.575,0.245,0.185,$3.5K
ACF Fiorentina vs. Genoa CFC,2026-05-10,15:00:00,0.455,0.285,0.255,$452
Parma Calcio 1913 vs. AS Roma,2026-05-10,18:00:00,0.145,0.225,0.635,$5.3K
AC Milan vs. Atalanta BC,2026-05-10,20:45:00,0.455,0.28,0.265,$9.7K
SSC Napoli vs. Bologna FC 1909,2026-05-11,20:45:00,0.625,0.235,0.145,$748
